iter	Passed	Remaining
407	5081	2391
408	5093	2378
409	5105	2366
410	5117	2353
411	5128	2340
412	5140	2327
413	5152	2314
414	5164	2302
415	5175	2289
416	5186	2276
417	5198	2263
418	5208	2249
419	5220	2237
420	5232	2224
421	5243	2211
422	5254	2198
423	5265	2185
424	5277	2173
425	5289	2160
426	5301	2147
427	5312	2134
428	5323	2121
429	5335	2109
430	5345	2096
431	5357	2083
432	5368	2070
433	5379	2057
434	5390	2044
435	5402	2032
436	5413	2019
437	5425	2006
438	5437	1994
439	5448	1981
440	5459	1968
441	5470	1955
442	5481	1942
443	5493	1930
444	5504	1917
445	5516	1904
446	5527	1891
447	5537	1878
448	5549	1866
449	5560	1853
450	5572	1840
451	5582	1827
452	5593	1814
453	5610	1804
454	5622	1791
455	5635	1779
456	5647	1767
457	5661	1755
458	5681	1745
459	5693	1732
460	5705	1720
461	5717	1707
462	5730	1695
463	5741	1682
464	5752	1670
465	5771	1659
466	5791	1649
467	5804	1637
468	5827	1627
469	5837	1614
470	5847	1601
471	5858	1588
472	5868	1575
473	5885	1564
474	5899	1552
475	5911	1539
476	5923	1527
477	5936	1515
478	5946	1502
479	5957	1489
480	5968	1476
481	5978	1463
482	5988	1450
483	5998	1437
484	6008	1424
485	6019	1411
486	6029	1398
487	6038	1385
488	6047	1372
489	6056	1359
490	6066	1346
491	6074	1333
492	6084	1320
493	6093	1307
494	6103	1294
495	6112	1281
496	6122	1268
497	6131	1255
498	6143	1243
499	6152	1230
500	6162	1217
501	6171	1204
502	6181	1192
503	6190	1179
504	6200	1166
505	6210	1153
506	6220	1141
507	6230	1128
508	6240	1115
509	6256	1104
510	6270	1092
511	6284	1080
512	6300	1068
513	6311	1056
514	6323	1043
515	6333	1031
516	6343	1018
517	6354	1005
518	6364	993
519	6374	980
520	6384	968
521	6394	955
522	6403	942
523	6412	930
524	6422	917
525	6431	904
526	6439	891
527	6448	879
528	6456	866
529	6465	853
530	6474	841
531	6483	828
532	6493	816
533	6502	803
534	6512	791
535	6521	778
536	6529	766
537	6538	753
538	6547	741
539	6558	728
540	6567	716
541	6577	703
542	6587	691
543	6597	679
544	6605	666
545	6614	654
546	6623	641
547	6632	629
548	6641	616
549	6650	604
550	6660	592
551	6669	579
552	6679	567
553	6688	555
554	6698	543
555	6707	530
556	6716	518
557	6725	506
558	6735	493
559	6744	481
560	6754	469
561	6762	457
562	6771	445
563	6780	432
564	6788	420
565	6798	408
566	6807	396
567	6816	384
568	6825	371
569	6836	359
570	6846	347
571	6855	335
572	6864	323
573	6873	311
574	6882	299
575	6891	287
576	6900	275
577	6909	262
578	6919	250
579	6927	238
580	6933	226
581	6940	214
582	6947	202
583	6954	190
584	6961	178
585	6968	166
586	6975	154
587	6982	142
588	6988	130
589	6995	118
590	7001	106
591	7007	94
592	7014	82
593	7019	70
594	7025	59
595	7031	47
596	7036	35
597	7044	23
598	7050	11
599	7058	0
