iter	F1	Logloss
165	0.8206422477	0.4017199811
166	0.8203668617	0.4014354452
167	0.8210177027	0.4010347883
168	0.8209008577	0.4008197361
169	0.8207840459	0.4004903015
170	0.8211761564	0.4002867709
171	0.8216098349	0.3999222012
172	0.8213514967	0.3996721067
173	0.8215683848	0.3994524586
174	0.8215854001	0.3986741198
175	0.8222946551	0.3978959359
176	0.8221362916	0.3975904803
177	0.8225874397	0.3972764772
178	0.8228043629	0.3966869412
179	0.8226460217	0.3964896616
180	0.8231560502	0.3961811346
181	0.8234903358	0.3958717983
182	0.8236486224	0.3956525353
183	0.8244981095	0.3952373163
184	0.8247148484	0.3949522904
185	0.8243580199	0.3943928372
186	0.8242945144	0.3940066893
187	0.824194955	0.3937903421
188	0.8243893268	0.393565425
189	0.8242945144	0.3931857057
190	0.8247104606	0.392893199
191	0.8252435624	0.3924810233
192	0.8252435624	0.3923518829
193	0.8262283432	0.3917876614
194	0.8256737163	0.3914733377
195	0.825515572	0.3910168532
196	0.8260084583	0.390568202
197	0.8257695931	0.3902485077
198	0.8257291827	0.3898743787
199	0.8262627778	0.3895366708
200	0.8259463797	0.3888937111
201	0.8260053254	0.3886482177
202	0.8255708803	0.388321498
203	0.8256887499	0.3876835606
204	0.8258066531	0.3872557586
205	0.8254898934	0.386922534
206	0.8256263045	0.3865695002
207	0.8259431833	0.3863060231
208	0.8261792459	0.3858860144
209	0.8266542837	0.3854562174
210	0.8266731362	0.3852810461
211	0.826533593	0.3850562525
212	0.8274625598	0.3846458388
213	0.827205059	0.3842958681
214	0.8267297725	0.383943107
215	0.8272241227	0.3836590598
216	0.8271248474	0.383387658
217	0.8273215012	0.3830545453
218	0.827539229	0.3828746631
219	0.8274399486	0.3827054012
220	0.8284691421	0.3822466022
221	0.8296158313	0.38189232
222	0.8297937461	0.3816583803
223	0.8298924019	0.3812648315
224	0.8301498047	0.3809000388
225	0.8311565103	0.3804057638
226	0.8315907704	0.3800068638
227	0.8311769465	0.3797418499
228	0.8312958013	0.3794444928
229	0.83141469	0.3793973462
230	0.8316525696	0.3791723467
231	0.832542581	0.3788883204
232	0.8324443828	0.3785936511
233	0.8333519227	0.3782747142
234	0.8340414882	0.3777743604
235	0.8354844586	0.37729957
236	0.835229639	0.3770550119
237	0.8358806512	0.3766366657
238	0.8360001948	0.3762545071
239	0.8358429677	0.3760256929
240	0.8356856982	0.3757869681
241	0.8353929663	0.375571288
242	0.835707737	0.3753132547
243	0.836126522	0.3749390156
244	0.8365233727	0.374535737
245	0.836268509	0.3741686085
246	0.8365832709	0.3739517935
247	0.8364858148	0.3736724611
248	0.836545727	0.3734402024
249	0.8365680969	0.3729794393
250	0.8371227406	0.3727343627
251	0.8370853228	0.372592609
252	0.837437389	0.3723268199
253	0.8378947027	0.3719234509
254	0.8381490931	0.3715924584
255	0.8378947027	0.371546427
256	0.838232081	0.3712323981
257	0.838074838	0.3710963338
258	0.8383892814	0.3708665726
259	0.8374227467	0.3705484343
260	0.8382921464	0.3702852856
261	0.8383662758	0.3700522706
262	0.8387035546	0.3695187845
263	0.839027254	0.3691018913
264	0.8394718342	0.3687055346
265	0.8398333066	0.3685294494
266	0.8399302693	0.368234221
267	0.8398568748	0.3680671235
268	0.8405095509	0.3677165964
269	0.8404492257	0.3674638325
270	0.8403286013	0.3672680183
271	0.8405222704	0.3670218111
272	0.8403889092	0.3668060053
273	0.8402920199	0.3665751302
274	0.8405095509	0.3663977034
275	0.841584743	0.3661185753
276	0.8411132792	0.3657882995
277	0.8411373177	0.3654512932
278	0.8411736998	0.3652283238
279	0.8412100615	0.3649708092
280	0.8414517734	0.3646738898
281	0.8417660585	0.3644004183
282	0.8420440636	0.3642482941
283	0.84238257	0.3640634269
284	0.8426851842	0.3639772228
285	0.842624644	0.3638897369
286	0.8428422083	0.363591494
287	0.8431808811	0.3632462715
288	0.8439296134	0.3628900481
289	0.8438333947	0.3625845499
290	0.8437977581	0.3624284187
291	0.8438227467	0.3621383586
292	0.8437264251	0.3620234278
293	0.8444147435	0.3617576493
294	0.8441616737	0.3612900726
295	0.8445613671	0.3610257237
296	0.8450827087	0.3607760579
297	0.8450219409	0.3605538335
298	0.8447688977	0.3602782137
